Module                  Size  Used by
rtsx_pci_sdmmc         36864  0
nvme_core             233472  5 nvme
intel_lpss_pci         28672  0
i2c_hid_acpi           12288  0
intel_lpss             12288  1 intel_lpss_pci
nvme_keyring           20480  1 nvme_core
i2c_hid                40960  1 i2c_hid_acpi
video                  77824  3 ideapad_laptop,xe,i915
e1000e                360448  0
rtsx_pci              143360  1 rtsx_pci_sdmmc
idma64                 20480  0
thunderbolt           540672  1 typec
nvme_auth              28672  1 nvme_core
hid                   262144  5 i2c_hid,usbhid,hid_multitouch,snd_soc_sdca,hid_generic
wmi                    28672  8 video,lenovo_wmi_hotkey_utilities,lenovo_wmi_other,wmi_bmof,lenovo_wmi_capdata01,ideapad_laptop,think_lmi,lenovo_wmi_helpers
pinctrl_tigerlake      28672  1

